2026-07-20 11:11:18 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 30 features
2026-07-20 11:11:18 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 11:11:21 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 30 features
2026-07-20 11:11:21 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 11:20:16 | INFO     | models.fichier_excel | Fichier chargé : titanic.csv (891 lignes, 12 colonnes)
2026-07-20 11:20:16 | INFO     | models.fichier_excel | JeuDonnees créé : 891 lignes, 12 colonnes
2026-07-20 11:20:26 | INFO     | models.analyse_eda | EDA : 7 colonnes numériques analysées
2026-07-20 11:20:52 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 65, 'non_utile_total': 65, 'utile_total': 826}
2026-07-20 11:20:52 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:20:52 | INFO     | models.pretraitement | Valeurs manquantes imputées : 866
2026-07-20 11:21:01 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 65, 'non_utile_total': 65, 'utile_total': 826}
2026-07-20 11:21:01 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:21:01 | INFO     | models.pretraitement | Valeurs manquantes imputées : 866
2026-07-20 11:21:05 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 10 features
2026-07-20 11:21:05 | INFO     | models.rapport_evaluation | Évaluation : accuracy=1.000 precision=1.000 recall=1.000 f1=1.000
2026-07-20 11:22:32 | INFO     | models.analyse_eda | EDA : 7 colonnes numériques analysées
2026-07-20 11:22:37 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 65, 'non_utile_total': 65, 'utile_total': 826}
2026-07-20 11:22:37 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:22:37 | INFO     | models.pretraitement | Valeurs manquantes imputées : 866
2026-07-20 11:26:19 | INFO     | models.fichier_excel | Fichier chargé : iris.csv (150 lignes, 5 colonnes)
2026-07-20 11:26:19 | INFO     | models.fichier_excel | JeuDonnees créé : 150 lignes, 5 colonnes
2026-07-20 11:26:30 | INFO     | models.analyse_eda | EDA : 4 colonnes numériques analysées
2026-07-20 11:27:25 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 11:27:25 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-20 11:27:29 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 11:27:34 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 178, 'doublon': 177, 'valeur_aberrante': 2, 'non_utile_total': 180, 'utile_total': 47}
2026-07-20 11:27:34 | INFO     | models.pretraitement | Doublons supprimés : 177
2026-07-20 11:27:34 | INFO     | models.pretraitement | Valeurs manquantes imputées : 32
2026-07-20 11:27:40 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 30 features
2026-07-20 11:27:40 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 11:28:22 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 250 arbres, 30 features
2026-07-20 11:28:22 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 13:15:16 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
